session_id	cookie_id	individual_id	session_seq	url	creation_datetime	function	logic	intention	duration	active_duration	loading_time	ip
23776600	cookie_id	individual_id	4	https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout	2016-08-01 06:01:17.779000	function	logic	intention	15904	15904	170	ip
23776654	bbb3740789b24e93993db6431bbd8658	individual_id	8	https://www.mybank.com.tw/MyBank/Quicklinks/Home	2016-08-01 06:00:42.762000	function	logic	intention	69326	69326	2355	ip
23776654	bbb3740789b24e93993db6431bbd8658	individual_id	9	https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout	2016-08-01 06:01:52.541000	function	logic	intention	1908	1908	618	ip
23776654	bbb3740789b24e93993db6431bbd8658	individual_id	10	https://www.mybank.com.tw/MyBank/Home/Login	2016-08-01 06:01:54.652000	function	logic	intention	15528	15528	705	ip
23776657	a43c721475a948d3bf9f703043787b9c	individual_id	23	https://www.mybank.com.tw/mybank/Home/MyMobiBank	2016-08-01 06:00:22.296000	function	logic	intention	15785	15785	-1	ip
23776657	a43c721475a948d3bf9f703043787b9c	individual_id	24	https://www.cathayholdings.com/bank/cathaybk/card/event/2012/201203newcard_ggg/index.asp	2016-08-01 06:02:47.695000	function	logic	intention	104902	104902	-1	ip
23776657	a43c721475a948d3bf9f703043787b9c	individual_id	25	https://www.cathayholdings.com/bank/cathaybk/card/event/2012/201203newcard_ggg/index.asp	2016-08-01 06:05:51.867000	function	logic	intention	23254	23254	-1	ip
23776657	a43c721475a948d3bf9f703043787b9c	individual_id	26	https://www.cathayholdings.com/bank/cathaybk/card/login_news_list.asp	2016-08-01 06:06:15.965000	function	logic	intention	5977	5977	4545	ip
23776657	a43c721475a948d3bf9f703043787b9c	individual_id	27	https://www.cathayholdings.com/bank/cathaybk/card/event/2016/TreeMall/20160524_2/card_news1050524_2_index.asp	2016-08-01 06:06:22.177000	function	logic	intention	4746	4746	1091	ip
23776657	a43c721475a948d3bf9f703043787b9c	individual_id	28	https://www.cathayholdings.com/bank/cathaybk/card/event/2016/TreeMall/20160524_2/card_news1050524_2_login01.asp	2016-08-01 06:06:29.660000	function	logic	intention	15302	15302	2897	ip
23776776	cookie_id	individual_id	15	app://com.cathaybk.mymobibank.android.app/TabBarActivity	2016-08-01 06:10:36.197000	function	logic	intention	235	235	-1	ip
23776776	cookie_id	individual_id	16	app://com.cathaybk.mymobibank.android.app/LastestTabGroup	2016-08-01 06:10:36.432000	function	logic	intention	203	203	-1	ip
23776776	cookie_id	individual_id	17	app://com.cathaybk.mymobibank.android.app/LastestActivity	2016-08-01 06:10:36.635000	function	logic	intention	1066811	120000	-1	ip
23776776	cookie_id	individual_id	18	app://com.cathaybk.mymobibank.android.app/TabBarActivity	2016-08-01 06:28:23.446000	function	logic	intention	193	193	-1	ip
23776776	cookie_id	individual_id	19	app://com.cathaybk.mymobibank.android.app/LastestTabGroup	2016-08-01 06:28:23.639000	function	logic	intention	234	234	-1	ip
23776776	cookie_id	individual_id	20	app://com.cathaybk.mymobibank.android.app/LastestActivity	2016-08-01 06:28:23.873000	function	logic	intention	188	188	-1	ip
23776776	cookie_id	individual_id	21	app://com.cathaybk.mymobibank.android.app/CheckOTPToken	2016-08-01 06:28:24.610000	function	logic	intention	218	218	-1	ip
23776776	cookie_id	individual_id	22	app://com.cathaybk.mymobibank.android.app/NewMyBank	2016-08-01 06:28:24.279000	function	logic	intention	0	0	-1	ip
23776832	cookie_id	individual_id	4	https://www.mybank.com.tw/MyBank/Home/Login	2016-08-01 06:11:54.672000	function	logic	intention	8180	8180	693	ip
